scope,regime,target,model,frames,values,explained_variance,mse
d3d_shot_011e881b81,all,psi,default_transport,122,2928,0.473140932076742,0.09585088825620133
d3d_shot_011e881b81,all,psi,persistence,122,2928,-3.5743750259332403,0.8322109955912358
d3d_shot_011e881b81,ramp,ff_prime,tuned_transport,59,1416,-0.1619164800198576,0.019917962269269
d3d_shot_011e881b81,ramp,ff_prime,default_transport,59,1416,-0.16199312991446102,0.019919276227487952
d3d_shot_011e881b81,ramp,ff_prime,persistence,59,1416,-0.16225479516640395,0.01992376178105828
d3d_shot_011e881b81,ramp,psi,tuned_transport,59,1416,0.48038867424164056,0.1437484763951757
d3d_shot_011e881b81,ramp,psi,default_transport,59,1416,0.7818344037284549,0.06035467379412698
d3d_shot_011e881b81,ramp,psi,persistence,59,1416,-2.0660345944325753,0.8482066877224772
d3d_shot_011e881b81,flat_top,ff_prime,tuned_transport,63,1512,-0.2096239490591305,0.0040992228570361795
d3d_shot_011e881b81,flat_top,ff_prime,default_transport,63,1512,-0.20972779276181908,0.004099574766801153
d3d_shot_011e881b81,flat_top,ff_prime,persistence,63,1512,-0.20957196346349094,0.00409904668613443
d3d_shot_011e881b81,flat_top,psi,tuned_transport,63,1512,-2.2000252339495425,0.28359117817651347
d3d_shot_011e881b81,flat_top,psi,default_transport,63,1512,-0.4566816203624364,0.12909337481592176
d3d_shot_011e881b81,flat_top,psi,persistence,63,1512,-8.221582731353108,0.8172309029603902
d3d_shot_00ee8a5ce0,all,ff_prime,tuned_transport,121,2904,-0.5990204697357693,0.02187414244764751
d3d_shot_00ee8a5ce0,all,ff_prime,default_transport,121,2904,-0.5999770725665443,0.021887228500629463
d3d_shot_00ee8a5ce0,all,ff_prime,persistence,121,2904,-0.5955448794369997,0.021826597366940998
d3d_shot_00ee8a5ce0,all,psi,tuned_transport,121,2904,-2.1388127266734958,0.8203931501218525
d3d_shot_00ee8a5ce0,all,psi,default_transport,121,2904,-2.5720259543358233,0.9336223216159447
d3d_shot_00ee8a5ce0,all,psi,persistence,121,2904,-2.178242486231147,0.8306989273277233
d3d_shot_00ee8a5ce0,ramp,ff_prime,tuned_transport,80,1920,-0.6270446529074187,0.02221907242609155
d3d_shot_00ee8a5ce0,ramp,ff_prime,default_transport,80,1920,-0.6280636096673191,0.022232987393948654
d3d_shot_00ee8a5ce0,ramp,ff_prime,persistence,80,1920,-0.6234822461099501,0.02217042386902662
d3d_shot_00ee8a5ce0,ramp,psi,tuned_transport,80,1920,-1.984703983070848,0.7815471312814324
d3d_shot_00ee8a5ce0,ramp,psi,default_transport,80,1920,-2.3994772410026024,0.8901558414608907
d3d_shot_00ee8a5ce0,ramp,psi,persistence,80,1920,-2.023484619983921,0.7917018721537569
d3d_shot_00ee8a5ce0,flat_top,ff_prime,tuned_transport,15,360,-0.14104814613689376,0.010976490046075609
d3d_shot_00ee8a5ce0,flat_top,ff_prime,default_transport,15,360,-0.14103751399981967,0.010976387768579994
d3d_shot_00ee8a5ce0,flat_top,ff_prime,persistence,15,360,-0.13779562901490405,0.010945201951935954
d3d_shot_00ee8a5ce0,flat_top,psi,tuned_transport,15,360,-1.6960315223941222,0.8050837494131963
d3d_shot_00ee8a5ce0,flat_top,psi,default_transport,15,360,-2.057017982869624,0.9128808321523981
d3d_shot_00ee8a5ce0,flat_top,psi,persistence,15,360,-1.7342676014859677,0.816501733833047
d3d_shot_02d447f0c8,all,ff_prime,tuned_transport,129,3096,-1.151655219933525,0.029654511753536242
d3d_shot_02d447f0c8,all,ff_prime,default_transport,129,3096,-1.1528595638850976,0.029671110245495524
d3d_shot_02d447f0c8,all,ff_prime,persistence,129,3096,-1.14536949529246,0.02956788072941997
d3d_shot_02d447f0c8,all,psi,tuned_transport,129,3096,-2.466512815075375,1.927033308068833
d3d_shot_02d447f0c8,all,psi,default_transport,129,3096,-2.7963540876251223,2.1103919605494967
d3d_shot_02d447f0c8,all,psi,persistence,129,3096,-2.6636141385175502,2.036601867482701
d3d_shot_02d447f0c8,ramp,ff_prime,tuned_transport,78,1872,-1.2524706264520482,0.0268983589070344
d3d_shot_02d447f0c8,ramp,ff_prime,default_transport,78,1872,-1.2537535592396374,0.026913679322834238
d3d_shot_02d447f0c8,ramp,ff_prime,persistence,78,1872,-1.2465855711240175,0.02682808126232634
d3d_shot_02d447f0c8,ramp,psi,tuned_transport,78,1872,-2.138810547401919,1.5951555477828987
d3d_shot_02d447f0c8,ramp,psi,default_transport,78,1872,-2.453971601800402,1.7553216032923566
d3d_shot_02d447f0c8,ramp,psi,persistence,78,1872,-2.3179551322676564,1.686197512274951
d3d_shot_02d447f0c8,flat_top,ff_prime,tuned_transport,19,456,-0.8213436741718962,0.023284771098583217
d3d_shot_02d447f0c8,flat_top,ff_prime,default_transport,19,456,-0.8223382207433447,0.02329748577159713
d3d_shot_02d447f0c8,flat_top,ff_prime,persistence,19,456,-0.8134942438408703,0.023184420905973183
d3d_shot_02d447f0c8,flat_top,psi,tuned_transport,19,456,-1.2414773646995614,1.6917330633738217
d3d_shot_02d447f0c8,flat_top,psi,default_transport,19,456,-1.4452591126517422,1.8455353395654546
d3d_shot_02d447f0c8,flat_top,psi,persistence,19,456,-1.3713287266212313,1.7897371055946334
d3d_shot_0112bdc95d,all,ff_prime,tuned_transport,193,4632,-1.1963900856849405,0.05131414442139695
d3d_shot_0112bdc95d,all,ff_prime,default_transport,193,4632,-1.1964760249109605,0.051316152214950644
d3d_shot_0112bdc95d,all,ff_prime,persistence,193,4632,-1.1963497865080521,0.05131320291387677
d3d_shot_0112bdc95d,all,psi,tuned_transport,193,4632,-0.6914702207976346,1.59381340390624
d3d_shot_0112bdc95d,all,psi,default_transport,193,4632,-0.014355702318247232,0.9557920055613971
d3d_shot_0112bdc95d,all,psi,persistence,193,4632,-2.94572341593434,3.717917579097152
d3d_shot_0112bdc95d,ramp,ff_prime,tuned_transport,69,1656,-1.216934537647341,0.024987021198486666
d3d_shot_0112bdc95d,ramp,ff_prime,default_transport,69,1656,-1.2170780092231128,0.024988638263512407
d3d_shot_0112bdc95d,ramp,ff_prime,persistence,69,1656,-1.2167836407878827,0.02498532044324918
d3d_shot_0112bdc95d,ramp,psi,tuned_transport,69,1656,-1.2853469567157818,0.4001436722877233
d3d_shot_0112bdc95d,ramp,psi,default_transport,69,1656,-0.7698206726344066,0.3098796623232966
d3d_shot_0112bdc95d,ramp,psi,persistence,69,1656,-2.629686765592319,0.6355254668750445
d3d_shot_0112bdc95d,flat_top,ff_prime,tuned_transport,119,2856,-1.4892386195976086,0.0687005740105714
d3d_shot_0112bdc95d,flat_top,ff_prime,default_transport,119,2856,-1.4893221462762165,0.06870287926596974
d3d_shot_0112bdc95d,flat_top,ff_prime,persistence,119,2856,-1.4892200547237193,0.06870006163804007
d3d_shot_0112bdc95d,flat_top,psi,tuned_transport,119,2856,-5.930802448599511,2.3528225694729823
d3d_shot_0112bdc95d,flat_top,psi,default_transport,119,2856,-3.0366960064840054,1.3703506254281113
d3d_shot_0112bdc95d,flat_top,psi,persistence,119,2856,-15.67670696674887,5.661297205748903
